,Gender,Years of Experience,How often do you work in teams?,R1,R2,R3,R4,R5,R6,R_level,EU1,EU2,EU3,EU4,EU5,EU_level,EC1,EC2,EC3,EC_level,EA1,EA2,EA3,EA4,EA5,EA_level,EUS1,EUS2,EUS3,EUS4,EUS5,EUS_level
36,Male,1,Sometimes,4.0,4.0,4.0,5.0,5.0,5.0,high,5.0,5.0,5.0,4.0,4.0,high,4.0,4.0,5.0,high,2.0,3.0,4.0,2.0,4.0,medium,2.0,3.0,4.0,2.0,3.0,medium
37,Male,5,Never,3.0,4.0,3.0,5.0,4.0,5.0,high,5.0,3.0,5.0,5.0,5.0,high,3.0,5.0,5.0,high,2.0,3.0,3.0,3.0,3.0,low,3.0,2.0,3.0,4.0,3.0,medium
38,Female,5,Usually,2.0,2.0,4.0,3.0,2.0,2.0,medium,4.0,2.0,4.0,2.0,3.0,medium,3.0,4.0,2.0,medium,4.0,2.0,4.0,3.0,4.0,medium,4.0,4.0,2.0,3.0,2.0,medium
39,Male,3,Sometimes,3.0,5.0,5.0,3.0,3.0,5.0,high,4.0,4.0,5.0,5.0,5.0,high,4.0,5.0,5.0,high,5.0,5.0,5.0,3.0,3.0,high,5.0,5.0,5.0,5.0,5.0,high
40,Male,5,Never,3.0,4.0,4.0,4.0,4.0,3.0,medium,3.0,2.0,3.0,2.0,4.0,medium,3.0,4.0,4.0,medium,2.0,4.0,2.0,4.0,3.0,medium,3.0,1.0,3.0,3.0,3.0,low
41,Male,3,Sometimes,3.0,2.0,2.0,3.0,1.0,2.0,low,2.0,2.0,3.0,1.0,2.0,low,3.0,1.0,2.0,low,3.0,2.0,2.0,2.0,3.0,low,2.0,1.0,2.0,1.0,3.0,low
42,Male,3,Usually,2.0,1.0,1.0,1.0,2.0,3.0,low,2.0,1.0,3.0,3.0,2.0,low,1.0,1.0,2.0,low,3.0,3.0,2.0,1.0,2.0,low,3.0,3.0,3.0,3.0,3.0,medium
43,Female,2,Sometimes,4.0,3.0,2.0,4.0,2.0,4.0,medium,4.0,4.0,2.0,3.0,3.0,medium,4.0,2.0,3.0,medium,1.0,1.0,2.0,3.0,3.0,low,4.0,5.0,5.0,4.0,5.0,high
44,Male,1,Never,3.0,1.0,3.0,2.0,3.0,1.0,low,3.0,3.0,3.0,2.0,1.0,low,3.0,2.0,2.0,low,3.0,3.0,3.0,4.0,2.0,medium,3.0,2.0,3.0,3.0,3.0,low
45,Female,1,Usually,4.0,3.0,3.0,3.0,3.0,3.0,medium,5.0,4.0,5.0,5.0,5.0,high,3.0,2.0,2.0,medium,5.0,4.0,5.0,4.0,5.0,high,4.0,3.0,4.0,4.0,5.0,high
46,Male,1,Usually,4.0,2.0,2.0,4.0,4.0,3.0,medium,3.0,2.0,3.0,4.0,2.0,medium,2.0,4.0,3.0,medium,4.0,4.0,5.0,5.0,4.0,high,4.0,3.0,4.0,2.0,4.0,medium
47,Male,4,Sometimes,4.0,4.0,4.0,4.0,5.0,3.0,high,4.0,5.0,5.0,4.0,4.0,high,5.0,5.0,4.0,high,5.0,5.0,4.0,5.0,5.0,high,4.0,5.0,5.0,4.0,5.0,high
48,Male,2,Usually,5.0,5.0,5.0,4.0,5.0,5.0,high,4.0,4.0,4.0,4.0,4.0,high,4.0,4.0,5.0,high,2.0,4.0,2.0,4.0,3.0,medium,2.0,3.0,2.0,2.0,2.0,medium
49,Male,3,Usually,3.0,3.0,3.0,3.0,2.0,2.0,low,2.0,3.0,2.0,2.0,2.0,low,4.0,4.0,3.0,medium,3.0,2.0,2.0,2.0,2.0,low,5.0,5.0,4.0,4.0,5.0,high
50,Female,8,Sometimes,5.0,3.0,3.0,4.0,5.0,5.0,high,2.0,1.0,3.0,1.0,2.0,low,5.0,4.0,4.0,high,3.0,4.0,2.0,3.0,3.0,medium,2.0,3.0,2.0,3.0,3.0,medium
51,Female,2,Usually,2.0,2.0,3.0,3.0,3.0,2.0,low,3.0,2.0,2.0,1.0,3.0,low,1.0,1.0,1.0,low,2.0,4.0,3.0,2.0,2.0,medium,1.0,3.0,2.0,1.0,3.0,low
52,Female,2,Sometimes,2.0,2.0,4.0,4.0,4.0,4.0,medium,4.0,2.0,2.0,2.0,3.0,medium,1.0,3.0,2.0,low,3.0,3.0,4.0,3.0,2.0,medium,2.0,3.0,1.0,1.0,1.0,low
53,Female,5,Usually,4.0,4.0,4.0,2.0,3.0,2.0,medium,2.0,4.0,3.0,3.0,3.0,medium,3.0,2.0,4.0,medium,4.0,2.0,2.0,2.0,4.0,medium,2.0,3.0,2.0,3.0,4.0,medium
